split,sid,score,sentence1,sentence2
train,1,4.8,테더링이 가능하나요?,핫스팟이 되나요?
train,2,5.0,교통카드가 작동이 안됩니다.,교통카드가 안되요
train,3,4.6,요금제를 변경하려면 어떻게 해야 하나요?,요금제를 바꾸고 싶어요
train,4,3.2,유심을 샀는데 셀프 개통이 불가능해요,개통이 안되요
train,5,2.0,유심을 구매했는데 무엇을 해야 하나요?,셀프 개통은 어떻게 해야 하나요?
train,6,3.8,야간이나 셀프 개통이 가능한가요?,개통은 밤낮 상관없이 할 수 있나요?
train,7,4.2,개통하고 싶어요,셀프 개통이 잘 안되요
train,8,4.4,데이터쉐어링이 가능한가요?,데이터를 공유하고 싶어요
train,9,1.0,데이터쉐어링은 어떻게 하나요?,데이터를 다 썻어요
train,10,0.8,약정없는 유심 요금제는 약정기간이 없나요?,요금제가 너무 비싸요
train,11,1.2,요금을 연채했어요,요금청구서가 안와요
train,12,2.6,미성년자도 가입이 가능한가요?,주민등록증이 필요한가요?
train,13,0.8,데이터를 다 사용했어요,핸드폰에서 열이 나요
train,14,1.0,어느 서류가 필요한가요?,증명서가 발급이 안되요
train,15,5.0,유심은 어디서 사나요?,유심 판매점이 궁금합니다.
train,16,2.2,유심이 작동이 안되요,핸드폰이 망가졌어요
train,17,3.0,청구서에 더 많은 돈이 청구되었어요,요금제를 변경하고 싶어요
train,18,3.2,18살도 등록할 수 있나요?,청소년 요금제가 있나요?
train,19,1.2,공유받은 데이터는 얼마나 사용할 수 있나요?,핸드폰 용량이 부족해요
train,20,0.4,개통 확인은 어떻게 하나요?,요금 확인은 어디서 할 수 있나요?
train,21,0.2,교통카드 이용이 잘 안됩니다.,요금제를 바꾸고 싶어요
train,22,0.0,약정이 끝나면 할인도 끝나나요?,데이터를 충전하고 싶어요
train,23,3.2,버스나 지하철을 이용하고 싶어요,교통카드 기능을 사용하고 싶어요
train,24,5.0,테더링을 하고 싶어요,다른 핸드폰에게 wifi를 사용하고 싶어요
train,25,2.8,핫스팟을 이용하여 다른 사람과 함께 데이터를 이용합니다.,데이터쉐어링으로 데이터를 공유합니다
train,26,0.8,서류가 너무 많아요.,청구서가 안 와요
train,27,1.2,미납한 요금은 어떻게 되나요?,요금 청구서는 인터넷으로 받을 수 있나요?
train,28,4.4,셀프 개통을 어떻게 하나요?,개통하는 방법을 모르겠어요
train,29,4.8,wifi,기기들끼리 무선으로 데이터를 주고받을 수 있도록 하는 기술
train,30,4.8,USIM,휴대전화에 끼워서 쓰는 일종의 IC카드
train,31,2.4,집에서 셀프 개통해도 되나요?,개통하려면 어느 대리점을 가야하나요?
train,32,2.2,환승할 수 있나요?,교통카드는 단말기에 꼭 대주세요.
train,33,3.8,핸드폰이 통신이 안되요,셀프 개통하는 방법을 모르겠어요
train,34,4.4,요금제 변경은 대리점에서 할 수 밖에 없나요?,요금제를 바꾸고 싶어요
train,35,3.2,무제한 요금제는 정말 무제한인가요?,요금제를 다 썻어요
train,36,2.2,요금이 연체되었어요.,청구서를 못 받았어요
train,37,2.6,wifi를 찾아다니는 대신 데이터쉐어링 유심을 장착해 장소에 구애받지 않고 쓰기 위함이었다.,핫스팟으로 wifi없이 핸드폰을 사용했다.
train,38,4.8,데이터함께쓰기 신청하러 왔습니다,데이터쉐어링을 하고싶어요
train,39,0.2,핫스팟으로 데이터를 공유할 거에요,개통이 하고 싶어요
train,40,0.6,셀프 개통이 안되요,테더링이 안되요
train,41,2.2,데이터 쉐어링이란 스마트폰의 데이터를 잠시 끌어와 쓰는 테더링과는 다른 개념으로 별도의 유심과 번호를 부여받아 독립적으로 사용하는 기능이다. ,"휴대전화의 모바일 데이터를 사용하여 다른 스마트폰, 태블릿, 컴퓨터를 인터넷에 연결을 공유하는 것을 테더링 또는 핫스팟 사용이라고 합니다"
train,42,4.0,온라인 가입을 하고 싶어요,개통은 인터넷으로 할 수 있나요?
train,43,3.2,5G 인터넷은 매우 빠르다,LTE는 비교적 느린편에 속한다.
train,44,0.6,유심은 어디서 구매하나요?,요금제를 변경하려면 어떻게 해야 하나요?
train,45,1.2,5G 요금제를 사용하려면 5G 전용 유심이어야 하나요?,5G 요금제 사용 중인데 LTE 요금제로 변경 가능한가요?
train,46,0.8,핫스팟을 이용하고 싶어요,교통카드 이용이 안됩니다.
train,47,0.4,셀프 개통 유심 구매했는데 셀프 개통이 불가해요 유심은 어떻게 하나요?,테더링이 가능하나요?
train,48,3.4,야간이나 휴일에도 셀프 개통이 가능한가요?,설날이나 추석에도 개통할 수 있나요?
train,49,5.0,USIM은 어디서 구매할 수 있을까요?,유심 판매점이 어디에 있나요?
